cella,rssi_kpOU,rssi_Cvj5,rssi_cGTg,rssi_At5a,
1,-100,-94,-100,-100,
1,-100,-92,-100,-100,
1,-100,-91,-100,-100,
1,-100,-92,-100,-100,
1,-100,-92,-100,-100,
1,-100,-92,-100,-100,
1,-100,-93,-100,-100,
1,-100,-92,-100,-100,
1,-100,-92,-100,-100,
1,-100,-92,-100,-100,
1,-100,-91,-100,-100,
1,-100,-93,-100,-100,
1,-100,-92,-100,-100,
1,-100,-92,-100,-100,
1,-100,-91,-95,-100,
1,-100,-93,-95,-100,
1,-100,-93,-95,-100,
1,-100,-90,-95,-100,
1,-100,-92,-95,-100,
1,-100,-92,-95,-100,
1,-100,-93,-95,-100,
1,-100,-92,-95,-100,
1,-100,-92,-95,-100,
1,-100,-94,-95,-100,
1,-100,-93,-95,-100,
1,-100,-92,-95,-100,
1,-100,-92,-95,-100,
1,-100,-95,-95,-100,
1,-100,-92,-95,-100,
1,-100,-93,-95,-100,
1,-100,-92,-95,-100,
1,-100,-91,-95,-100,
1,-100,-90,-95,-100,
1,-100,-90,-95,-100,
1,-100,-92,-95,-100,
1,-100,-92,-95,-100,
1,-100,-94,-95,-100,
1,-100,-92,-95,-100,
1,-100,-92,-95,-100,
1,-100,-91,-95,-100,
1,-100,-92,-95,-100,
1,-100,-92,-95,-100,
1,-100,-92,-95,-100,
2,-77,-92,-88,-100,
2,-79,-92,-88,-100,
2,-78,-90,-89,-100,
2,-77,-92,-90,-100,
2,-78,-92,-86,-100,
2,-78,-93,-86,-100,
2,-79,-92,-86,-100,
2,-78,-93,-88,-100,
2,-78,-94,-87,-100,
2,-79,-92,-88,-100,
2,-79,-91,-87,-100,
2,-79,-92,-87,-100,
2,-79,-91,-87,-100,
2,-79,-90,-88,-100,
2,-78,-92,-88,-100,
2,-79,-93,-88,-100,
2,-78,-94,-88,-100,
2,-79,-92,-88,-100,
2,-78,-91,-87,-100,
2,-78,-91,-89,-100,
2,-79,-92,-88,-100,
2,-79,-92,-88,-100,
2,-78,-92,-87,-100,
2,-78,-92,-87,-100,
2,-79,-94,-87,-100,
2,-78,-93,-87,-100,
2,-79,-91,-88,-100,
2,-79,-91,-88,-100,
2,-79,-93,-88,-100,
2,-78,-92,-89,-100,
2,-78,-92,-88,-100,
2,-78,-92,-87,-100,
2,-79,-96,-88,-100,
2,-79,-93,-86,-100,
2,-78,-91,-89,-100,
2,-78,-92,-88,-100,
2,-78,-91,-88,-100,
2,-78,-91,-86,-100,
2,-78,-92,-88,-100,
2,-78,-94,-86,-100,
2,-78,-94,-88,-100,
2,-78,-91,-87,-100,
2,-78,-92,-88,-100,
2,-78,-92,-88,-100,
2,-79,-92,-87,-100,
2,-79,-92,-89,-100,
2,-78,-92,-88,-100,
2,-78,-93,-88,-100,
2,-79,-90,-88,-100,
2,-79,-92,-88,-100,
2,-78,-93,-88,-100,
2,-78,-92,-88,-100,
2,-78,-93,-87,-100,
2,-78,-92,-90,-100,
2,-78,-91,-88,-100,
2,-78,-90,-88,-100,
2,-79,-92,-88,-100,
2,-78,-92,-87,-100,
2,-79,-91,-87,-100,
2,-79,-90,-89,-100,
2,-78,-92,-89,-100,
2,-78,-91,-89,-100,
2,-79,-92,-89,-100,
2,-80,-92,-89,-100,
2,-78,-93,-87,-100,
2,-78,-93,-88,-100,
2,-78,-92,-88,-100,
2,-78,-92,-87,-100,
2,-78,-92,-87,-100,
2,-78,-92,-89,-100,
2,-79,-90,-89,-100,
2,-80,-93,-87,-100,
2,-79,-92,-87,-100,
2,-79,-93,-88,-100,
2,-78,-92,-88,-100,
2,-78,-93,-88,-100,
2,-78,-91,-89,-100,
2,-78,-95,-87,-100,
2,-79,-93,-88,-100,
2,-78,-92,-89,-100,
2,-78,-94,-88,-100,
2,-79,-92,-88,-100,
2,-78,-95,-88,-100,
2,-79,-90,-88,-100,
2,-78,-94,-89,-100,
2,-78,-97,-87,-100,
2,-78,-92,-86,-100,
2,-79,-94,-88,-100,
2,-79,-92,-88,-100,
2,-79,-92,-88,-100,
2,-79,-92,-89,-100,
3,-100,-100,-100,-86,
3,-100,-92,-100,-87,
3,-100,-94,-100,-88,
3,-100,-94,-100,-86,
3,-100,-96,-97,-86,
3,-100,-96,-97,-86,
3,-100,-93,-97,-87,
3,-100,-93,-97,-86,
3,-100,-93,-97,-88,
3,-100,-93,-97,-86,
3,-100,-93,-97,-86,
3,-100,-94,-97,-86,
3,-100,-94,-97,-88,
3,-100,-94,-97,-85,
3,-100,-94,-97,-87,
3,-100,-94,-97,-86,
3,-100,-94,-97,-87,
3,-100,-95,-97,-86,
3,-100,-95,-97,-86,
3,-100,-97,-97,-87,
3,-100,-97,-97,-88,
3,-100,-94,-97,-87,
3,-100,-94,-97,-86,
3,-100,-94,-97,-86,
3,-100,-94,-97,-87,
3,-100,-94,-97,-85,
3,-100,-94,-97,-86,
3,-100,-95,-97,-88,
3,-100,-96,-97,-87,
3,-100,-96,-97,-86,
3,-100,-96,-97,-86,
3,-100,-96,-97,-86,
3,-100,-92,-97,-88,
3,-100,-94,-97,-87,
3,-100,-94,-97,-86,
3,-100,-97,-97,-86,
3,-100,-97,-97,-86,
3,-100,-97,-97,-88,
3,-100,-95,-97,-88,
3,-100,-94,-97,-86,
3,-100,-93,-97,-88,
3,-100,-93,-97,-87,
3,-100,-91,-97,-87,
3,-100,-95,-97,-86,
3,-100,-95,-97,-86,
3,-100,-94,-97,-88,
3,-100,-95,-96,-86,
3,-100,-95,-96,-86,
3,-100,-96,-96,-88,
3,-100,-96,-96,-87,
3,-100,-96,-96,-86,
3,-100,-95,-96,-87,
3,-100,-96,-96,-86,
3,-100,-96,-98,-88,
3,-100,-95,-98,-88,
3,-100,-95,-98,-86,
3,-100,-95,-98,-88,
3,-100,-95,-98,-87,
3,-100,-96,-98,-87,
3,-100,-94,-98,-87,
3,-100,-92,-92,-88,
3,-100,-92,-96,-86,
3,-100,-92,-96,-87,
3,-100,-94,-96,-86,
3,-100,-94,-96,-87,
3,-100,-93,-96,-87,
3,-100,-93,-96,-87,
3,-100,-93,-96,-87,
3,-100,-95,-96,-89,
3,-100,-95,-96,-88,
3,-100,-96,-96,-87,
3,-100,-96,-96,-87,
3,-100,-96,-96,-88,
3,-100,-92,-96,-88,
3,-100,-95,-96,-87,
3,-100,-95,-96,-87,
3,-100,-95,-96,-86,
3,-100,-95,-96,-86,
3,-100,-95,-96,-87,
3,-100,-95,-96,-88,
3,-100,-95,-96,-87,
4,-87,-100,-88,-100,
4,-87,-92,-87,-94,
4,-86,-94,-87,-91,
4,-87,-94,-88,-92,
4,-87,-94,-87,-92,
4,-86,-95,-86,-89,
4,-87,-93,-88,-91,
4,-89,-94,-87,-92,
4,-86,-94,-89,-92,
4,-86,-94,-89,-92,
4,-86,-94,-88,-92,
4,-86,-94,-87,-92,
4,-87,-94,-88,-92,
4,-86,-94,-87,-90,
4,-86,-96,-87,-92,
4,-86,-96,-87,-90,
4,-86,-92,-87,-91,
4,-86,-92,-88,-93,
4,-87,-94,-87,-92,
4,-88,-96,-88,-93,
4,-87,-95,-88,-91,
4,-87,-96,-86,-92,
4,-88,-96,-87,-91,
4,-86,-94,-86,-90,
4,-87,-94,-88,-92,
4,-86,-95,-86,-92,
4,-87,-95,-88,-92,
4,-87,-95,-88,-91,
4,-86,-95,-87,-93,
4,-87,-95,-88,-93,
4,-88,-94,-87,-92,
4,-87,-94,-89,-90,
4,-87,-94,-88,-92,
4,-87,-94,-88,-92,
4,-88,-98,-88,-93,
4,-88,-98,-86,-92,
4,-88,-95,-89,-93,
4,-88,-95,-88,-92,
4,-87,-95,-88,-91,
4,-86,-95,-88,-92,
4,-85,-95,-89,-91,
4,-87,-95,-87,-92,
4,-87,-95,-88,-92,
4,-88,-95,-90,-92,
4,-86,-95,-89,-92,
4,-87,-96,-89,-94,
4,-86,-96,-89,-93,
4,-86,-96,-88,-91,
4,-86,-96,-89,-93,
4,-86,-96,-89,-92,
4,-87,-96,-88,-91,
4,-87,-96,-86,-93,
4,-86,-96,-87,-91,
4,-86,-96,-88,-93,
4,-86,-96,-88,-92,
4,-86,-96,-89,-91,
4,-87,-96,-88,-93,
4,-86,-95,-88,-93,
4,-88,-95,-88,-90,
4,-87,-95,-86,-90,
4,-86,-98,-87,-93,
4,-86,-98,-89,-92,
4,-86,-95,-89,-93,
4,-87,-95,-88,-92,
4,-86,-95,-89,-93,
4,-87,-95,-88,-91,
4,-88,-95,-88,-93,
4,-87,-95,-88,-92,
4,-88,-95,-89,-92,
4,-86,-95,-89,-92,
4,-88,-95,-89,-92,
4,-88,-95,-89,-93,
4,-87,-95,-88,-94,
4,-87,-95,-89,-91,
4,-88,-95,-88,-94,
4,-86,-95,-88,-92,
4,-87,-95,-87,-92,
4,-87,-95,-88,-92,
4,-87,-95,-88,-94,
4,-87,-95,-89,-94,
4,-88,-95,-89,-92,
4,-88,-95,-90,-94,
4,-88,-95,-89,-92,
4,-88,-95,-89,-92,
4,-88,-95,-90,-92,
4,-87,-95,-88,-94,
4,-88,-95,-88,-93,
4,-87,-95,-89,-94,
4,-88,-95,-88,-92,
4,-88,-95,-88,-93,
4,-88,-95,-88,-93,
4,-87,-95,-88,-92,
4,-87,-95,-88,-93,
4,-87,-95,-88,-92,
4,-88,-95,-89,-94,
4,-88,-95,-90,-92,
4,-86,-95,-89,-93,
4,-88,-95,-88,-94,
4,-88,-95,-90,-92,
4,-87,-95,-89,-92,
4,-88,-95,-88,-91,
4,-86,-95,-86,-91,
4,-86,-95,-88,-91,
4,-88,-94,-88,-92,
4,-87,-94,-87,-89,
4,-88,-94,-88,-91,
4,-86,-96,-89,-92,
4,-86,-96,-88,-93,
4,-86,-95,-87,-91,
4,-86,-94,-89,-90,
4,-87,-94,-87,-92,
4,-87,-94,-87,-93,
4,-88,-95,-88,-91,
4,-86,-94,-88,-94,
4,-88,-94,-87,-91,
4,-88,-94,-87,-93,
4,-86,-94,-87,-91,
4,-87,-94,-88,-92,
4,-88,-95,-87,-92,
4,-87,-95,-88,-90,
4,-86,-95,-88,-92,
4,-86,-95,-88,-92,
4,-86,-95,-88,-91,
4,-87,-95,-88,-92,
4,-86,-95,-87,-91,
4,-85,-97,-88,-92,
4,-88,-97,-89,-92,
4,-87,-97,-87,-92,
4,-86,-97,-87,-90,
4,-86,-97,-88,-90,
4,-86,-97,-88,-92,
4,-86,-97,-87,-90,
4,-86,-97,-86,-90,
4,-87,-97,-89,-92,
4,-86,-97,-87,-91,
4,-86,-94,-86,-90,
4,-86,-94,-88,-90,
4,-86,-94,-88,-90,
4,-88,-94,-88,-93,
4,-85,-94,-86,-92,
4,-88,-94,-86,-91,
4,-86,-94,-86,-93,
4,-86,-94,-87,-95,
4,-86,-94,-87,-90,
4,-87,-94,-88,-90,
4,-87,-99,-87,-92,
4,-78,-97,-88,-92,
4,-90,-97,-88,-90,
4,-95,-97,-86,-91,
4,-92,-97,-90,-91,
5,-100,-100,-94,-84,
5,-100,-100,-94,-83,
5,-100,-100,-94,-83,
5,-100,-100,-94,-83,
5,-100,-100,-94,-84,
5,-100,-100,-94,-85,
5,-100,-100,-94,-84,
5,-100,-100,-94,-84,
5,-100,-100,-94,-84,
5,-100,-100,-94,-84,
5,-100,-100,-94,-84,
5,-100,-100,-94,-84,
5,-100,-100,-94,-84,
5,-100,-100,-94,-84,
5,-100,-100,-94,-84,
5,-100,-100,-94,-84,
5,-100,-100,-94,-84,
5,-100,-100,-94,-83,
5,-100,-100,-94,-84,
5,-100,-100,-94,-83,
5,-100,-100,-94,-84,
5,-100,-100,-94,-83,
5,-100,-100,-94,-84,
5,-100,-100,-94,-84,
5,-100,-100,-94,-84,
5,-100,-100,-94,-83,
5,-100,-100,-94,-84,
5,-100,-100,-94,-84,
5,-100,-100,-94,-84,
5,-100,-100,-94,-83,
5,-100,-100,-94,-83,
5,-100,-100,-94,-84,
5,-100,-100,-94,-83,
5,-100,-100,-94,-84,
5,-100,-100,-94,-84,
5,-100,-100,-94,-84,
5,-100,-100,-94,-84,
5,-100,-100,-94,-83,
5,-100,-100,-94,-84,
5,-100,-100,-94,-84,
