cell,rssi_cQsW,distance_cQsW,rssi_kpOU,distance_kpOU,rssi_94gJ,distance_94gJ,rssi_Cvj5,distance_Cvj5,rssi_cGTg,distance_cGTg,,
1,-92,316.8662916,-74,59.23224446,-71,,-84,157.1952995,-75,258.0977269,,
1,-87,205.9962822,-89,245.4258733,-74,59.23224446,-88,224.9599091,-80,424.4225046,,
1,-88,224.9599091,-82,130.5626326,-70,38.63088335,-84,157.1952995,-66,96.40218327,,
1,-80,107.94951,-76,72.72728276,-71,43.08223774,-90,267.4942824,-71,169.1896579,,
1,-88,224.9599091,-84,157.1952995,-76,72.72728276,-76,72.72728276,-64,76.06612134,,
1,-83,143.341061,-88,224.9599091,-81,118.7880868,-83,143.341061,-69,135.7609436,,
1,-92,316.8662916,-83,143.341061,-80,107.94951,-92,316.8662916,-58,35.67091129,,
1,-92,316.8662916,-86,188.4401012,-68,30.91655846,-89,245.4258733,-70,151.6749419,,
1,-89,245.4258733,-88,224.9599091,-68,30.91655846,-94,373.9897751,-72,188.4401012,,
1,-86,188.4401012,-92,316.8662916,-79,97.98282444,-86,188.4401012,-68,121.3214364,,
1,-87,205.9962822,-82,130.5626326,-94,373.9897751,-91,291.270683,-59,40.68017127,,
1,-84,157.1952995,-78,88.82761509,-76,72.72728276,-77,80.42696274,-65,85.70987866,,
2,0,,-88,224.9599091,-72,,-91,291.270683,-79,385.2066499,,
2,-89,245.4258733,-76,72.72728276,-79,97.98282444,-83,143.341061,-85,677.2343031,,
2,-82,130.5626326,-76,72.72728276,-73,53.34501393,-85,172.2014743,-65,85.70987866,,
2,-84,157.1952995,-82,130.5626326,-80,107.94951,-89,245.4258733,-65,85.70987866,,
2,-90,267.4942824,-89,245.4258733,-78,88.82761509,-89,245.4258733,-77,316.1297116,,
2,-88,224.9599091,-85,172.2014743,-69,34.58635039,-83,143.341061,-85,677.2343031,,
2,-89,245.4258733,-79,97.98282444,-84,157.1952995,-80,107.94951,-69,135.7609436,,
2,-88,224.9599091,-75,65.67816922,-87,205.9962822,-84,157.1952995,-72,188.4401012,,
2,-93,344.3982309,-83,143.341061,-85,172.2014743,-78,88.82761509,-75,258.0977269,,
2,-87,205.9962822,-84,157.1952995,-89,245.4258733,-80,107.94951,-73,209.5705386,,
2,-83,143.341061,-85,172.2014743,-80,107.94951,-84,157.1952995,-64,76.06612134,,
3,0,,-88,224.9599091,-72,47.97472615,-71,43.08223774,-76,285.8338294,,
3,-94,373.9897751,-83,143.341061,-82,130.5626326,-71,43.08223774,-75,258.0977269,,
3,-88,224.9599091,-75,65.67816922,-70,38.63088335,-81,118.7880868,-73,209.5705386,,
3,-87,205.9962822,-81,118.7880868,-72,47.97472615,-85,172.2014743,-72,188.4401012,,
3,-88,224.9599091,-80,107.94951,-87,205.9962822,-85,172.2014743,-74,232.7349874,,
3,-86,188.4401012,-73,53.34501393,-82,130.5626326,-72,47.97472615,-92,1246.446046,,
3,-87,205.9962822,-87,205.9962822,-85,172.2014743,-71,43.08223774,-80,424.4225046,,
3,-81,118.7880868,-86,188.4401012,-73,53.34501393,-82,130.5626326,-70,151.6749419,,
3,-79,97.98282444,-81,118.7880868,-73,53.34501393,-83,143.341061,-68,121.3214364,,
3,-89,245.4258733,-86,188.4401012,-68,30.91655846,-75,65.67816922,-76,285.8338294,,
3,-88,224.9599091,-81,118.7880868,-83,143.341061,-72,47.97472615,-94,1471.209456,,
3,-83,143.341061,-86,188.4401012,-77,80.42696274,-75,65.67816922,-81,467.0689842,,
3,-90,267.4942824,-81,118.7880868,-84,157.1952995,-68,30.91655846,-83,563.6774171,,
3,-86,188.4401012,-76,72.72728276,-79,97.98282444,-73,53.34501393,-74,232.7349874,,
3,-88,224.9599091,-77,80.42696274,-72,47.97472615,-78,88.82761509,-66,96.40218327,,
3,-89,245.4258733,-73,53.34501393,-74,59.23224446,-81,118.7880868,-74,232.7349874,,
3,-85,172.2014743,-72,47.97472615,-76,72.72728276,-77,80.42696274,-70,151.6749419,,
3,-92,316.8662916,-86,188.4401012,-80,107.94951,-88,224.9599091,-76,285.8338294,,
3,-88,224.9599091,-79,97.98282444,-89,245.4258733,-84,157.1952995,-78,349.1837054,,
4,-72,47.97472615,-79,97.98282444,-87,205.9962822,0,,-74,232.7349874,,
4,-82,130.5626326,-88,224.9599091,-89,245.4258733,-79,97.98282444,-74,232.7349874,,
4,-85,172.2014743,-81,118.7880868,-74,59.23224446,-91,291.270683,-77,316.1297116,,
4,-83,143.341061,-82,130.5626326,-78,88.82761509,-90,267.4942824,-70,151.6749419,,
4,-84,157.1952995,-86,188.4401012,-75,65.67816922,-92,316.8662916,-80,424.4225046,,
4,-87,205.9962822,-80,107.94951,-76,72.72728276,-78,88.82761509,-67,108.2385204,,
4,-76,72.72728276,-77,80.42696274,-94,373.9897751,-82,130.5626326,-60,46.29266826,,
4,-77,80.42696274,-83,143.341061,-86,188.4401012,-89,245.4258733,-63,67.38209834,,
