,cella,rssi_kpOU,rssi_Cvj5,rssi_cGTg,rssi_At5a,Unnamed: 5,riga,colonna
0,1,-100,-94,-100,-100,,1,1
1,1,-100,-92,-100,-100,,1,1
2,1,-100,-91,-100,-100,,1,1
3,1,-100,-92,-100,-100,,1,1
4,1,-100,-92,-100,-100,,1,1
5,1,-100,-92,-100,-100,,1,1
6,1,-100,-93,-100,-100,,1,1
7,1,-100,-92,-100,-100,,1,1
8,1,-100,-92,-100,-100,,1,1
9,1,-100,-92,-100,-100,,1,1
10,1,-100,-91,-100,-100,,1,1
11,1,-100,-93,-100,-100,,1,1
12,1,-100,-92,-100,-100,,1,1
13,1,-100,-92,-100,-100,,1,1
14,1,-100,-91,-95,-100,,1,1
15,1,-100,-93,-95,-100,,1,1
16,1,-100,-93,-95,-100,,1,1
17,1,-100,-90,-95,-100,,1,1
18,1,-100,-92,-95,-100,,1,1
19,1,-100,-92,-95,-100,,1,1
20,1,-100,-93,-95,-100,,1,1
21,1,-100,-92,-95,-100,,1,1
22,1,-100,-92,-95,-100,,1,1
23,1,-100,-94,-95,-100,,1,1
24,1,-100,-93,-95,-100,,1,1
25,1,-100,-92,-95,-100,,1,1
26,1,-100,-92,-95,-100,,1,1
27,1,-100,-95,-95,-100,,1,1
28,1,-100,-92,-95,-100,,1,1
29,1,-100,-93,-95,-100,,1,1
30,1,-100,-92,-95,-100,,1,1
31,1,-100,-91,-95,-100,,1,1
32,1,-100,-90,-95,-100,,1,1
33,1,-100,-90,-95,-100,,1,1
34,1,-100,-92,-95,-100,,1,1
35,1,-100,-92,-95,-100,,1,1
36,1,-100,-94,-95,-100,,1,1
37,1,-100,-92,-95,-100,,1,1
38,1,-100,-92,-95,-100,,1,1
39,1,-100,-91,-95,-100,,1,1
40,1,-100,-92,-95,-100,,1,1
41,1,-100,-92,-95,-100,,1,1
42,1,-100,-92,-95,-100,,1,1
43,2,-77,-92,-88,-100,,1,2
44,2,-79,-92,-88,-100,,1,2
45,2,-78,-90,-89,-100,,1,2
46,2,-77,-92,-90,-100,,1,2
47,2,-78,-92,-86,-100,,1,2
48,2,-78,-93,-86,-100,,1,2
49,2,-79,-92,-86,-100,,1,2
50,2,-78,-93,-88,-100,,1,2
51,2,-78,-94,-87,-100,,1,2
52,2,-79,-92,-88,-100,,1,2
53,2,-79,-91,-87,-100,,1,2
54,2,-79,-92,-87,-100,,1,2
55,2,-79,-91,-87,-100,,1,2
56,2,-79,-90,-88,-100,,1,2
57,2,-78,-92,-88,-100,,1,2
58,2,-79,-93,-88,-100,,1,2
59,2,-78,-94,-88,-100,,1,2
60,2,-79,-92,-88,-100,,1,2
61,2,-78,-91,-87,-100,,1,2
62,2,-78,-91,-89,-100,,1,2
63,2,-79,-92,-88,-100,,1,2
64,2,-79,-92,-88,-100,,1,2
65,2,-78,-92,-87,-100,,1,2
66,2,-78,-92,-87,-100,,1,2
67,2,-79,-94,-87,-100,,1,2
68,2,-78,-93,-87,-100,,1,2
69,2,-79,-91,-88,-100,,1,2
70,2,-79,-91,-88,-100,,1,2
71,2,-79,-93,-88,-100,,1,2
72,2,-78,-92,-89,-100,,1,2
73,2,-78,-92,-88,-100,,1,2
74,2,-78,-92,-87,-100,,1,2
75,2,-79,-96,-88,-100,,1,2
76,2,-79,-93,-86,-100,,1,2
77,2,-78,-91,-89,-100,,1,2
78,2,-78,-92,-88,-100,,1,2
79,2,-78,-91,-88,-100,,1,2
80,2,-78,-91,-86,-100,,1,2
81,2,-78,-92,-88,-100,,1,2
82,2,-78,-94,-86,-100,,1,2
83,2,-78,-94,-88,-100,,1,2
84,2,-78,-91,-87,-100,,1,2
85,2,-78,-92,-88,-100,,1,2
86,2,-78,-92,-88,-100,,1,2
87,2,-79,-92,-87,-100,,1,2
88,2,-79,-92,-89,-100,,1,2
89,2,-78,-92,-88,-100,,1,2
90,2,-78,-93,-88,-100,,1,2
91,2,-79,-90,-88,-100,,1,2
92,2,-79,-92,-88,-100,,1,2
93,2,-78,-93,-88,-100,,1,2
94,2,-78,-92,-88,-100,,1,2
95,2,-78,-93,-87,-100,,1,2
96,2,-78,-92,-90,-100,,1,2
97,2,-78,-91,-88,-100,,1,2
98,2,-78,-90,-88,-100,,1,2
99,2,-79,-92,-88,-100,,1,2
100,2,-78,-92,-87,-100,,1,2
101,2,-79,-91,-87,-100,,1,2
102,2,-79,-90,-89,-100,,1,2
103,2,-78,-92,-89,-100,,1,2
104,2,-78,-91,-89,-100,,1,2
105,2,-79,-92,-89,-100,,1,2
106,2,-80,-92,-89,-100,,1,2
107,2,-78,-93,-87,-100,,1,2
108,2,-78,-93,-88,-100,,1,2
109,2,-78,-92,-88,-100,,1,2
110,2,-78,-92,-87,-100,,1,2
111,2,-78,-92,-87,-100,,1,2
112,2,-78,-92,-89,-100,,1,2
113,2,-79,-90,-89,-100,,1,2
114,2,-80,-93,-87,-100,,1,2
115,2,-79,-92,-87,-100,,1,2
116,2,-79,-93,-88,-100,,1,2
117,2,-78,-92,-88,-100,,1,2
118,2,-78,-93,-88,-100,,1,2
119,2,-78,-91,-89,-100,,1,2
120,2,-78,-95,-87,-100,,1,2
121,2,-79,-93,-88,-100,,1,2
122,2,-78,-92,-89,-100,,1,2
123,2,-78,-94,-88,-100,,1,2
124,2,-79,-92,-88,-100,,1,2
125,2,-78,-95,-88,-100,,1,2
126,2,-79,-90,-88,-100,,1,2
127,2,-78,-94,-89,-100,,1,2
128,2,-78,-97,-87,-100,,1,2
129,2,-78,-92,-86,-100,,1,2
130,2,-79,-94,-88,-100,,1,2
131,2,-79,-92,-88,-100,,1,2
132,2,-79,-92,-88,-100,,1,2
133,2,-79,-92,-89,-100,,1,2
134,3,-100,-100,-100,-86,,1,3
135,3,-100,-92,-100,-87,,1,3
136,3,-100,-94,-100,-88,,1,3
137,3,-100,-94,-100,-86,,1,3
138,3,-100,-96,-97,-86,,1,3
139,3,-100,-96,-97,-86,,1,3
140,3,-100,-93,-97,-87,,1,3
141,3,-100,-93,-97,-86,,1,3
142,3,-100,-93,-97,-88,,1,3
143,3,-100,-93,-97,-86,,1,3
144,3,-100,-93,-97,-86,,1,3
145,3,-100,-94,-97,-86,,1,3
146,3,-100,-94,-97,-88,,1,3
147,3,-100,-94,-97,-85,,1,3
148,3,-100,-94,-97,-87,,1,3
149,3,-100,-94,-97,-86,,1,3
150,3,-100,-94,-97,-87,,1,3
151,3,-100,-95,-97,-86,,1,3
152,3,-100,-95,-97,-86,,1,3
153,3,-100,-97,-97,-87,,1,3
154,3,-100,-97,-97,-88,,1,3
155,3,-100,-94,-97,-87,,1,3
156,3,-100,-94,-97,-86,,1,3
157,3,-100,-94,-97,-86,,1,3
158,3,-100,-94,-97,-87,,1,3
159,3,-100,-94,-97,-85,,1,3
160,3,-100,-94,-97,-86,,1,3
161,3,-100,-95,-97,-88,,1,3
162,3,-100,-96,-97,-87,,1,3
163,3,-100,-96,-97,-86,,1,3
164,3,-100,-96,-97,-86,,1,3
165,3,-100,-96,-97,-86,,1,3
166,3,-100,-92,-97,-88,,1,3
167,3,-100,-94,-97,-87,,1,3
168,3,-100,-94,-97,-86,,1,3
169,3,-100,-97,-97,-86,,1,3
170,3,-100,-97,-97,-86,,1,3
171,3,-100,-97,-97,-88,,1,3
