id ,cella,distance_cQsW,distance_kpOU,distance_94gJ,distance_Cvj5,distance_cGTg,distance_At5a
0,1,172.201474334,-1000,291.270683048,47.9747261536,166.199004408,513.398215552
1,1,205.996282157,-1000,267.494282385,47.9747261536,157.195299519,513.398215552
2,1,172.201474334,-1000,291.270683048,56.8773522526,143.341061043,513.398215552
3,1,172.201474334,-1000,291.270683048,43.0822377445,157.195299519,316.129711635
4,1,143.341061043,-1000,291.270683048,43.0822377445,130.562632641,513.398215552
5,1,143.341061043,-1000,224.95990907,47.9747261536,143.341061043,258.097726879
6,1,157.195299519,-1000,291.270683048,43.0822377445,157.195299519,258.097726879
7,1,172.201474334,-1000,224.95990907,56.8773522526,157.195299519,513.398215552
8,1,172.201474334,-1000,267.494282385,43.0822377445,130.562632641,513.398215552
9,1,205.996282157,-1000,224.95990907,47.9747261536,130.562632641,513.398215552
10,1,157.195299519,-1000,267.494282385,56.8773522526,157.195299519,349.183705405
11,1,157.195299519,-1000,245.425873323,53.3450139341,157.195299519,285.833829424
12,1,157.195299519,-1000,224.95990907,47.9747261536,166.199004408,424.422504582
13,1,205.996282157,-1000,224.95990907,53.3450139341,157.195299519,513.398215552
14,1,157.195299519,-1000,267.494282385,43.0822377445,166.199004408,513.398215552
15,1,143.341061043,-1000,291.270683048,53.3450139341,157.195299519,258.097726879
16,1,157.195299519,-1000,291.270683048,47.9747261536,166.199004408,513.398215552
17,1,205.996282157,-1000,267.494282385,47.9747261536,157.195299519,513.398215552
18,1,205.996282157,-1000,224.95990907,43.0822377445,130.562632641,385.206649881
19,1,143.341061043,-1000,291.270683048,43.0822377445,166.199004408,285.833829424
20,1,157.195299519,-1000,245.425873323,47.9747261536,130.562632641,467.068984202
21,1,172.201474334,-1000,224.95990907,56.8773522526,130.562632641,467.068984202
22,1,172.201474334,-1000,291.270683048,43.0822377445,166.199004408,258.097726879
23,1,143.341061043,-1000,224.95990907,47.9747261536,157.195299519,258.097726879
24,1,188.440101185,-1000,267.494282385,56.8773522526,166.199004408,285.833829424
25,1,143.341061043,-1000,245.425873323,43.0822377445,166.199004408,258.097726879
26,1,172.201474334,-1000,291.270683048,56.8773522526,157.195299519,467.068984202
27,1,143.341061043,-1000,267.494282385,43.0822377445,130.562632641,285.833829424
28,1,157.195299519,-1000,245.425873323,47.9747261536,166.199004408,513.398215552
29,1,157.195299519,-1000,245.425873323,47.9747261536,143.341061043,513.398215552
30,1,205.996282157,-1000,267.494282385,47.9747261536,157.195299519,349.183705405
31,1,205.996282157,-1000,291.270683048,47.9747261536,143.341061043,513.398215552
32,1,205.996282157,-1000,291.270683048,47.9747261536,166.199004408,385.206649881
33,1,205.996282157,-1000,224.95990907,47.9747261536,143.341061043,258.097726879
34,1,205.996282157,-1000,291.270683048,56.8773522526,166.199004408,513.398215552
35,1,205.996282157,-1000,291.270683048,53.3450139341,166.199004408,385.206649881
36,1,188.440101185,-1000,291.270683048,47.9747261536,166.199004408,316.129711635
37,2,157.195299519,-1000,316.866291585,205.996282157,172.201474334,96.4021832657
38,2,157.195299519,-1000,316.866291585,157.195299519,188.440101185,85.7098786644
39,2,157.195299519,-1000,291.270683048,205.996282157,188.440101185,85.7098786644
40,2,157.195299519,-1000,316.866291585,205.996282157,188.440101185,85.7098786644
41,2,188.440101185,-1000,245.425873323,205.996282157,188.440101185,96.4021832657
42,2,172.201474334,-1000,267.494282385,205.996282157,188.440101185,85.7098786644
43,2,157.195299519,-1000,245.425873323,205.996282157,188.440101185,85.7098786644
44,2,172.201474334,-1000,316.866291585,143.341061043,188.440101185,96.4021832657
45,2,157.195299519,-1000,267.494282385,205.996282157,130.562632641,96.4021832657
46,2,188.440101185,-1000,316.866291585,157.195299519,130.562632641,85.7098786644
47,2,157.195299519,-1000,267.494282385,157.195299519,188.440101185,96.4021832657
48,2,157.195299519,-1000,316.866291585,205.996282157,130.562632641,96.4021832657
49,2,157.195299519,-1000,245.425873323,205.996282157,188.440101185,96.4021832657
50,2,188.440101185,-1000,316.866291585,188.440101185,118.788086762,85.7098786644
51,2,172.201474334,-1000,316.866291585,172.201474334,188.440101185,85.7098786644
52,2,188.440101185,-1000,267.494282385,157.195299519,188.440101185,96.4021832657
53,2,157.195299519,-1000,316.866291585,188.440101185,188.440101185,85.7098786644
54,2,157.195299519,-1000,316.866291585,143.341061043,118.788086762,85.7098786644
55,2,188.440101185,-1000,316.866291585,205.996282157,118.788086762,96.4021832657
56,2,188.440101185,-1000,316.866291585,143.341061043,188.440101185,96.4021832657
57,2,188.440101185,-1000,267.494282385,205.996282157,188.440101185,85.7098786644
58,2,188.440101185,-1000,316.866291585,205.996282157,157.195299519,96.4021832657
59,2,188.440101185,-1000,291.270683048,188.440101185,188.440101185,85.7098786644
60,2,157.195299519,-1000,291.270683048,172.201474334,188.440101185,96.4021832657
61,2,188.440101185,-1000,267.494282385,188.440101185,188.440101185,85.7098786644
62,2,188.440101185,-1000,267.494282385,157.195299519,143.341061043,85.7098786644
63,2,172.201474334,-1000,316.866291585,188.440101185,143.341061043,96.4021832657
64,2,172.201474334,-1000,245.425873323,172.201474334,143.341061043,96.4021832657
65,2,188.440101185,-1000,267.494282385,143.341061043,157.195299519,96.4021832657
66,2,157.195299519,-1000,245.425873323,143.341061043,188.440101185,85.7098786644
67,2,172.201474334,-1000,316.866291585,205.996282157,188.440101185,85.7098786644
68,2,157.195299519,-1000,245.425873323,143.341061043,157.195299519,96.4021832657
69,2,188.440101185,-1000,291.270683048,205.996282157,188.440101185,96.4021832657
70,2,157.195299519,-1000,245.425873323,205.996282157,188.440101185,85.7098786644
71,2,157.195299519,-1000,291.270683048,143.341061043,188.440101185,96.4021832657
72,2,157.195299519,-1000,245.425873323,143.341061043,188.440101185,96.4021832657
73,2,188.440101185,-1000,267.494282385,205.996282157,188.440101185,85.7098786644
74,2,157.195299519,-1000,291.270683048,157.195299519,188.440101185,96.4021832657
75,2,188.440101185,-1000,316.866291585,188.440101185,130.562632641,96.4021832657
76,2,172.201474334,-1000,291.270683048,205.996282157,157.195299519,96.4021832657
77,2,157.195299519,-1000,316.866291585,172.201474334,188.440101185,96.4021832657
78,2,157.195299519,-1000,245.425873323,172.201474334,143.341061043,85.7098786644
79,2,157.195299519,-1000,267.494282385,205.996282157,130.562632641,96.4021832657
80,3,172.201474334,-1000,224.95990907,405.770600684,316.866291585,169.189657922
81,3,172.201474334,-1000,224.95990907,291.270683048,316.866291585,169.189657922
82,3,172.201474334,-1000,224.95990907,291.270683048,316.866291585,151.674941902
83,3,157.195299519,-1000,224.95990907,405.770600684,316.866291585,151.674941902
84,3,157.195299519,-1000,224.95990907,291.270683048,316.866291585,135.760943593
85,3,143.341061043,-1000,188.440101185,405.770600684,316.866291585,135.760943593
86,3,143.341061043,-1000,224.95990907,405.770600684,267.494282385,169.189657922
87,3,157.195299519,-1000,224.95990907,267.494282385,316.866291585,151.674941902
88,3,143.341061043,-1000,224.95990907,267.494282385,245.425873323,169.189657922
89,3,157.195299519,-1000,224.95990907,267.494282385,316.866291585,151.674941902
90,3,157.195299519,-1000,224.95990907,267.494282385,267.494282385,169.189657922
91,3,143.341061043,-1000,224.95990907,267.494282385,316.866291585,169.189657922
92,3,143.341061043,-1000,224.95990907,267.494282385,316.866291585,151.674941902
93,3,172.201474334,-1000,224.95990907,267.494282385,316.866291585,151.674941902
94,3,157.195299519,-1000,188.440101185,267.494282385,316.866291585,169.189657922
95,3,143.341061043,-1000,205.996282157,405.770600684,316.866291585,169.189657922
96,3,157.195299519,-1000,188.440101185,405.770600684,316.866291585,135.760943593
