cella,rssi_kpOU,rssi_Cvj5,rssi_cGTg,rssi_At5a
1,-100,-89,-100,-94
1,-100,-89,-100,-95
1,-100,-87,-100,-92
1,-100,-87,-100,-93
1,-100,-89,-100,-93
1,-100,-90,-100,-92
1,-100,-88,-100,-94
1,-100,-89,-100,-92
1,-100,-88,-100,-95
1,-100,-90,-100,-95
1,-100,-89,-100,-95
1,-100,-90,-100,-93
1,-100,-90,-100,-93
1,-100,-88,-100,-93
1,-100,-89,-100,-93
1,-100,-88,-100,-93
1,-100,-88,-100,-94
1,-100,-88,-100,-93
1,-100,-90,-100,-94
1,-100,-88,-100,-94
1,-100,-89,-100,-94
1,-100,-90,-100,-92
1,-100,-89,-100,-95
1,-100,-88,-100,-91
1,-100,-89,-100,-94
1,-100,-89,-100,-92
1,-100,-89,-100,-95
1,-100,-88,-100,-92
1,-100,-88,-100,-92
1,-100,-89,-100,-92
1,-100,-90,-100,-92
1,-100,-88,-100,-94
1,-100,-89,-100,-94
1,-100,-88,-100,-94
1,-100,-89,-100,-92
1,-100,-87,-100,-92
2,-88,-100,-91,-100
2,-89,-100,-91,-100
2,-88,-100,-91,-100
2,-89,-100,-91,-100
2,-89,-100,-91,-100
2,-88,-100,-91,-100
2,-88,-100,-91,-100
2,-88,-100,-91,-100
2,-88,-100,-94,-100
2,-88,-100,-94,-100
2,-88,-100,-92,-100
2,-88,-100,-92,-100
2,-89,-100,-93,-100
2,-87,-100,-93,-100
2,-88,-100,-93,-100
2,-88,-100,-93,-100
2,-88,-100,-92,-100
2,-88,-100,-92,-100
2,-89,-100,-92,-100
2,-88,-100,-92,-100
2,-89,-100,-90,-100
2,-89,-100,-94,-100
2,-88,-100,-93,-100
2,-88,-100,-93,-100
2,-88,-100,-93,-100
2,-88,-100,-91,-100
2,-87,-100,-91,-100
2,-88,-100,-90,-100
2,-87,-100,-90,-100
2,-87,-100,-92,-100
2,-87,-100,-90,-100
2,-88,-100,-91,-100
2,-88,-100,-91,-100
3,-100,-85,-100,-100
3,-92,-84,-100,-100
3,-92,-85,-100,-100
3,-92,-85,-100,-100
3,-92,-85,-100,-100
3,-92,-85,-100,-100
3,-92,-86,-100,-100
3,-92,-84,-100,-100
3,-94,-85,-100,-100
3,-92,-87,-100,-100
3,-92,-84,-100,-100
3,-90,-85,-100,-100
3,-92,-84,-100,-100
